trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:103592850,1775281373038,AIOTUSDT,OPEN,0.0,LONG,0.02871,0.0,253.0,7.26363,1775281373038,0.00145272,USDT,0.0,-0.01,1,1
qt:103592851,1775281373181,AIOTUSDT,OPEN,0.0,LONG,0.02871,0.0,1462.0,41.974019999999996,1775281373181,0.0083948,USDT,0.01,-0.06,1,1
qt:103593379,1775281411461,AIOTUSDT,REALIZED_PNL,0.1029,SHORT,0.02883,0.02877,1715.0,49.34055,1775281373181,0.02467027,USDT,0.27,-0.1,1,1
qt:103593821,1775281438534,AIOTUSDT,OPEN,0.0,LONG,0.02873,0.0,190.0,5.458699999999999,1775281438534,0.00109173,USDT,0.0,-0.01,1,1
qt:103593826,1775281439293,AIOTUSDT,OPEN,0.0,LONG,0.02873,0.0,1527.0,43.870709999999995,1775281439293,0.00877414,USDT,0.03,-0.05,1,1
qt:103594451,1775281482239,AIOTUSDT,REALIZED_PNL,0.18887,SHORT,0.02895,0.02884,1717.0,49.52,1775281439293,0.02475913,USDT,0.46,0.12,1,1
qt:57614148,1777304789173,BASEDUSDT,OPEN,0.0,LONG,0.13969,0.0,37.0,5.1685300000000005,1777304789173,0.00258426,USDT,0.0,0.0,1,1
qt:57614149,1777304789173,BASEDUSDT,OPEN,0.0,LONG,0.13969,0.0,76.0,10.61644,1777304789173,0.00530822,USDT,0.0,0.0,1,1
qt:2097877979,1774632386141,BNBUSDT,OPEN,0.0,SHORT,609.04,0.0,0.08,48.7232,1774632386141,0.0243616,USDT,0.0,0.0,1,1
qt:2097878090,1774632403783,BNBUSDT,REALIZED_PNL,0.01839999,LONG,608.58000012,608.81,0.08,48.7048,1774632386141,0.0243524,USDT,0.04,0.02,1,1
qt:7494245933,1774592028781,BTCUSDT,OPEN,0.0,LONG,68665.8,0.0,0.003,205.9974,1774592028781,0.1029987,USDT,0.0,0.0,1,1
qt:7494255483,1774592350425,BTCUSDT,REALIZED_PNL,0.1476,SHORT,68764.2,68715.0,0.003,206.145,1774592028781,0.1030725,USDT,0.15,0.14,1,1
qt:7495948085,1774616259389,BTCUSDT,OPEN,0.0,LONG,66545.9,0.0,0.003,199.6377,1774616259389,0.09981885,USDT,0.02,-0.01,1,1
qt:7495949348,1774616289967,BTCUSDT,REALIZED_PNL,0.0477,SHORT,66577.7,66561.8,0.003,199.68540000000002,1774616259389,0.0998427,USDT,0.05,0.05,1,1
qt:7495961554,1774616545917,BTCUSDT,OPEN,0.0,LONG,66650.0,0.0,0.003,199.95000000000002,1774616545917,0.099975,USDT,0.0,0.0,1,1
qt:7495962676,1774616564885,BTCUSDT,REALIZED_PNL,-0.0003,SHORT,66649.8,66649.9,0.003,199.94969999999998,1774592028781,0.09997485,USDT,1.42,-6.83,1,1
qt:7497258963,1774628394775,BTCUSDT,OPEN,0.0,LONG,65948.1,0.0,0.003,197.84430000000003,1774628394775,0.09892215,USDT,0.01,-0.01,1,1
qt:7497698292,1774634743525,BTCUSDT,REALIZED_PNL,-0.7437,SHORT,65452.3,65700.2,0.003,197.1006,1774628394775,0.0985503,USDT,-0.29,-2.45,1,1
qt:7524458573,1775281515245,BTCUSDT,OPEN,0.0,LONG,66868.9,0.0,0.009,601.8200999999999,1775281515245,0.30091005,USDT,0.0,0.0,1,1
