id,account_id,exchange_fill_id,terminal_fill_id,exchange_order_id,symbol,side,direction,price,quantity,fee,fee_asset,exchange_position_id,terminal_position_id,is_close,realized_pnl,role,source,timestamp_ms
164,1,qt:103592850,,,AIOTUSDT,BUY,LONG,0.02871,253.0,0.00145272,USDT,,,0,0.0,,exchange_history_backfill,1775281373038
165,1,qt:103592851,,,AIOTUSDT,BUY,LONG,0.02871,1462.0,0.0083948,USDT,,,0,0.0,,exchange_history_backfill,1775281373181
167,1,qt:103593379,,,AIOTUSDT,BUY,SHORT,0.02877,1715.0,0.02467027,USDT,,,1,0.1029,,exchange_history_backfill,1775281411461
168,1,qt:103593821,,,AIOTUSDT,BUY,LONG,0.02873,190.0,0.00109173,USDT,,,0,0.0,,exchange_history_backfill,1775281438534
169,1,qt:103593826,,,AIOTUSDT,BUY,LONG,0.02873,1527.0,0.00877414,USDT,,,0,0.0,,exchange_history_backfill,1775281439293
171,1,qt:103594451,,,AIOTUSDT,BUY,SHORT,0.02884,1717.0,0.02475913,USDT,,,1,0.18887,,exchange_history_backfill,1775281482239
192,1,qt:57614149,,,BASEDUSDT,BUY,LONG,0.13969,76.0,0.00530822,USDT,,,0,0.0,,exchange_history_backfill,1777304789173
193,1,qt:57614148,,,BASEDUSDT,BUY,LONG,0.13969,37.0,0.00258426,USDT,,,0,0.0,,exchange_history_backfill,1777304789173
38,1,qt:2097877979,,,BNBUSDT,SELL,SHORT,609.04,0.08,0.0243616,USDT,,,0,0.0,,exchange_history_backfill,1774632386141
40,1,qt:2097878090,,,BNBUSDT,SELL,LONG,608.81,0.08,0.0243524,USDT,,,1,0.01839999,,exchange_history_backfill,1774632403783
25,1,qt:7494245933,,,BTCUSDT,BUY,LONG,68665.8,0.003,0.1029987,USDT,,,0,0.0,,exchange_history_backfill,1774592028781
27,1,qt:7494255483,,,BTCUSDT,BUY,SHORT,68715.0,0.003,0.1030725,USDT,,,1,0.1476,,exchange_history_backfill,1774592350425
28,1,qt:7495948085,,,BTCUSDT,BUY,LONG,66545.9,0.003,0.09981885,USDT,,,0,0.0,,exchange_history_backfill,1774616259389
30,1,qt:7495949348,,,BTCUSDT,BUY,SHORT,66561.8,0.003,0.0998427,USDT,,,1,0.0477,,exchange_history_backfill,1774616289967
31,1,qt:7495961554,,,BTCUSDT,BUY,LONG,66650.0,0.003,0.099975,USDT,,,0,0.0,,exchange_history_backfill,1774616545917
33,1,qt:7495962676,,,BTCUSDT,BUY,SHORT,66649.9,0.003,0.09997485,USDT,,,1,-0.0003,,exchange_history_backfill,1774616564885
37,1,qt:7497258963,,,BTCUSDT,BUY,LONG,65948.1,0.003,0.09892215,USDT,,,0,0.0,,exchange_history_backfill,1774628394775
51,1,qt:7497698292,,,BTCUSDT,BUY,SHORT,65700.2,0.003,0.0985503,USDT,,,1,-0.7437,,exchange_history_backfill,1774634743525
172,1,qt:7524458573,,,BTCUSDT,BUY,LONG,66868.9,0.009,0.30091005,USDT,,,0,0.0,,exchange_history_backfill,1775281515245
174,1,qt:7524458848,,,BTCUSDT,BUY,SHORT,66877.8,0.009,0.3009501,USDT,,,1,0.0801,,exchange_history_backfill,1775281536865
20,1,qt:109072539,,,CUSDT,BUY,LONG,0.06416,265.0,0.0085012,USDT,,,0,0.0,,exchange_history_backfill,1774444100727
21,1,qt:109072974,,,CUSDT,BUY,SHORT,0.06429,265.0,0.00851842,USDT,,,1,0.03445,,exchange_history_backfill,1774444112482
1,1,qt:318052725,,,DUSKUSDT,BUY,LONG,0.08924,203.0,0.00905785,USDT,,,0,0.0,,exchange_history_backfill,1773347962863
9,1,qt:319484871,,,DUSKUSDT,BUY,SHORT,0.08,203.0,0.00812,USDT,,,1,-1.87572,,exchange_history_backfill,1774034744256
10,1,qt:323937083,,,DUSKUSDT,BUY,LONG,0.1208,196.0,0.0118384,USDT,,,0,0.0,,exchange_history_backfill,1774433657059
11,1,qt:323937082,,,DUSKUSDT,BUY,LONG,0.1208,137.0,0.0082748,USDT,,,0,0.0,,exchange_history_backfill,1774433657059
12,1,qt:323937081,,,DUSKUSDT,BUY,LONG,0.1208,84.0,0.0050736,USDT,,,0,0.0,,exchange_history_backfill,1774433657059
17,1,qt:323972077,,,DUSKUSDT,BUY,SHORT,0.12151863,417.0,0.025336630000000002,USDT,,,1,0.29967,,exchange_history_backfill,1774437929513
176,1,qt:47505783,,,JCTUSDT,BUY,LONG,0.003095,5238.0,0.0081058,USDT,,,0,0.0,,exchange_history_backfill,1775283533038
179,1,qt:47509919,,,JCTUSDT,BUY,SHORT,0.00314361,5238.0,0.00823309,USDT,,,1,0.254606,,exchange_history_backfill,1775283622574
181,1,qt:47584387,,,JCTUSDT,BUY,LONG,0.003023,5431.0,0.00820895,USDT,,,0,0.0,,exchange_history_backfill,1775285927688
